Case.number	Type	LINE1.RDL
33	Normal	-2.48600402063299
33	Tumor	1.92409988564074
36	Normal	-1.20722792248188
36	Tumor	-0.0193165859928909
38	Normal	-0.810207062179741
38	Tumor	-0.629947344284086
45	Normal	-1.60296375912782
45	Tumor	-1.89432192210546
47	Normal	-1.62994734428409
47	Tumor	-1.45126746820808
48	Normal	-1.8520421186129
48	Tumor	-0.891910508159703
55	Normal	-1.91539142468219
55	Tumor	-1.11278669704877
55	Normal	-1.48924057844783
55	Tumor	-0.920843793382356
61	Normal	-1.62771648711947
61	Tumor	-1.6688680777828
62	Normal	-2.15875142869375
62	Tumor	-0.136537241740878
65	Normal	-1.76840375133371
65	Tumor	-1.96898128990638
68	Normal	-2.08742677432515
68	Tumor	-1.6108737730753
75	Normal	-1.36178711457659
75	Tumor	0.675364312749146
78	Normal	-1.30864450806894
78	Tumor	0.950095094173686
92	Normal	-1.54203805554732
92	Tumor	-0.938984225318372
117	Normal	-0.747099971299919
117	Tumor	1.24914190328035
136	Normal	-1.59902495632691
136	Tumor	-0.165369677690538
189	Normal	-1.69012533996323
189	Tumor	-0.966629861539408
193	Normal	-2.05050241879443
193	Tumor	-0.711464249706198
194	Normal	-1.01858570040003
194	Tumor	1.48800077083407
197	Normal	-1.62237646236427
197	Tumor	-1.54708833506004
198	Normal	-1.38383053381327
198	Tumor	-0.174947097664133
199	Normal	-2.2799842649172
199	Tumor	0.569491091958716
201	Normal	-1.66520292486611
201	Tumor	-0.428565884123491
208	Normal	-0.98793197669091
208	Tumor	-0.566399537374138
294	Normal	-1.49654949099443
294	Tumor	1.01292617444427
301	Normal	-1.31437375874909
301	Tumor	-2.29902769277728
334	Normal	-2.11653558189768
334	Tumor	1.98913900736823
336	Normal	-1.61021294626434
336	Tumor	-1.14114370380866
396	Normal	-1.99884630538363
396	Tumor	-2.42430042060781
418	Normal	-1.47292966448734
418	Tumor	-0.209227962138
442	Normal	-2.9862161845669
442	Tumor	-1.22263289054959
445	Normal	-1.20556333819558
445	Tumor	-0.592484088053699
445	Normal	-1.51086814714728
445	Tumor	-2.2270164478619
447	Normal	-3.22027801879293
447	Tumor	-0.11368398040108
455	Normal	-2.01741705307741
455	Tumor	-1.1814766179337
458	Normal	-1.80138012678078
458	Tumor	0.910732661902913
475	Normal	-1.80456840441183
475	Tumor	-2.33667056298205
476	Normal	-1.96072120464863
476	Tumor	-0.868542214520912
480	Normal	-1.55639334852439
480	Tumor	-2.593354492328
482	Normal	-1.90077213422514
482	Tumor	-0.435963338133392
492	Normal	-2.34007544159762
492	Tumor	-0.687102527102743
494	Normal	-1.74903842646678
494	Tumor	0.00575926928868495
505	Normal	-1.5034865191232
505	Tumor	-0.720707009302416
524	Normal	-1.25291341697218
524	Tumor	-0.5759378745841
527	Normal	-2.72451610733271
527	Tumor	-0.170231606716465
528	Normal	-2.07724396072947
528	Tumor	-1.24218021876503
535	Normal	-2.29760841569195
535	Tumor	-2.33460722895811
536	Normal	-1.66383088953599
536	Tumor	0.0662614422687213
538	Normal	-2.89324968493913
538	Tumor	-0.968604803724466
543	Normal	-1.41696237620334
543	Tumor	0.0243196791954129
544	Normal	-1.8170535054889
544	Tumor	-0.358638943672636
547	Normal	-2.47232908373591
547	Tumor	0.469885976274464
566	Normal	-1.99654168022759
566	Tumor	-0.0408975702571391
583	Normal	-1.89003774660118
583	Tumor	-0.753895990116083
595	Normal	-2.18902228287586
595	Tumor	-1.24845058520839
602	Normal	-1.62082267110919
602	Tumor	-0.956095605704379
604	Normal	-1.12186323337305
604	Tumor	0.385154896884344
605	Normal	-0.801883070847545
605	Tumor	0.492622328574446
656	Normal	-2.3621579396759
656	Tumor	-0.927413952931403
660	Normal	-1.66246015780258
660	Tumor	0.283329168051641
661	Normal	-2.34080610509305
661	Tumor	-0.598369533415259
662	Normal	-1.95064804086471
662	Tumor	-0.313746012645247
663	Normal	-1.89003774660118
663	Tumor	-1.5924840880537
664	Normal	-2.94841907936935
664	Tumor	-1.25825259172448
665	Normal	-1.90454811891434
665	Tumor	-0.854387752833524
673	Normal	-2.10159814000781
673	Tumor	-0.331880875313568
678	Normal	-1.63666068837052
678	Tumor	0.950095094173686
685	Normal	-1.61772009993305
685	Tumor	-0.891910508159703
686	Normal	-1.94230713283165
686	Tumor	-0.706276390095066
694	Normal	-2.24161153452065
694	Tumor	-0.249736524361979
699	Normal	-1.44379132826041
699	Tumor	-1.64205394714074
700	Normal	-2.40506933018761
700	Tumor	-2.28419446744085
715	Normal	-1.63755816587436
715	Tumor	-0.331154716978927
717	Normal	-2.14241704461585
717	Tumor	-0.0705119621819046
719	Normal	-1.24024760623103
719	Tumor	-1.30305657682396
725	Normal	-1.01294598759222
725	Tumor	-2.70871078885833
726	Normal	-1.72213424276512
726	Tumor	-0.760357558121003
727	Normal	-1.67024491425525
727	Tumor	0.0601165760174207
728	Normal	-1.90941752363756
728	Tumor	1.16864203555884
730	Normal	-1.51169066429664
730	Tumor	0.773152397014052
731	Normal	-2.01449956969511
731	Tumor	-0.331154716978927
732	Normal	-1.52035552542376
732	Tumor	-0.946193556304206
733	Normal	-1.50236208887888
733	Tumor	0.889862881365179
734	Normal	-1.49654949099443
734	Tumor	-0.475535074035002
735	Normal	-1.41773304664949
735	Tumor	-1.00810179849696
736	Normal	-1.8390798118189
736	Tumor	0.513995979367013
737	Normal	-2.41311518714782
737	Tumor	-0.849050458528073
738	Normal	-1.9674759343078
738	Tumor	-0.864333803030956
739	Normal	-1.74178261046398
739	Tumor	1.42277121932047
740	Normal	-2.46275363902093
740	Tumor	-0.662460157802576
741	Normal	-1.49167277071968
741	Tumor	-0.372579930598799
744	Normal	-1.6697858227507
744	Tumor	-1.16326791954086
745	Normal	-2.21223323006143
745	Tumor	-0.758769964484555
828	Normal	-2.38571419388095
828	Tumor	0.297484915710575
829	Normal	-1.64927646555898
829	Tumor	0.0908534304511135
830	Normal	-2.26395802625003
830	Tumor	-0.402969475969753
831	Normal	-2.08008791132269
831	Tumor	-0.293889442803533
832	Normal	-2.16812275880833
832	Tumor	-2.52118347095058
726	Met.Liver	-2.1199806384462
726	Normal.Liver	-0.909011111585228
