Case.number	Type	SST1.RDL
LS174T	CL	6.63836350589786
LS174T Clone 1	CL	6.53683000504806
LS174T Clone 2	CL	6.02236781302845
LS174T Clone 3	CL	6.03298241669943
LS174T Clone 4	CL	6.10998731853691
LS174T Clone 5	CL	5.50716034911752
LS174T Clone 6	CL	6.07146236255662
LS174T Clone 7	CL	6.16329744940276
LS174T Clone 8	CL	6.00315244866692
LS174T Clone 9	CL	6.46630082917934
LS174T Clone 10	CL	6.43712784427281
LS174T Clone 11	CL	6.82680268428583
LS174T Clone 12	CL	4.42155994490182
LS174T Clone 13	CL	6.12887075946512
LS174T Clone 14	CL	6.22361561718727
33	Normal	1.64616265715789
33	Tumor	7.52356195605701
36	Normal	1.33342373372519
36	Tumor	2.34198574722862
38	Normal	1.63226821549951
38	Tumor	1.55090066464752
45	Normal	1.87578006306849
45	Tumor	0.0840642647884746
47	Normal	1.83187724119167
47	Tumor	2.05658352836637
48	Normal	1.76128527336162
48	Tumor	1.6959938131099
55	Normal	0.37851162325373
55	Tumor	3.18586654531133
61	Normal	0.20163386116965
61	Tumor	1.09761079662642
62	Normal	1.97819562968165
62	Tumor	2.07724299893246
65	Normal	0.839959587489532
65	Tumor	-0.395928676331139
68	Normal	1.41683974191283
68	Tumor	1.58976348698498
75	Normal	1.19534759832222
75	Tumor	1
78	Normal	2.37295209791183
78	Tumor	3.37851162325373
92	Normal	0.84799690655495
92	Tumor	1.4905701304462
117	Normal	1.05658352836637
117	Tumor	2.44890095114513
136	Normal	2.88947354253111
136	Tumor	3.8972404255748
153	Normal	3.10601323762212
153	Tumor	8.20930713912672
156	Normal	0.545968369105292
156	Tumor	0.594548549550354
189	Normal	1.60407132366886
189	Tumor	1.25701061820602
193	Normal	-0.0892673380970874
193	Tumor	0.575312330687437
194	Normal	1.73984810269933
194	Tumor	3.64385618977472
197	Normal	2.55581615506164
197	Tumor	2.85598969730848
198	Normal	1.13093086982645
198	Tumor	1.18903382439002
199	Normal	0.37851162325373
199	Tumor	5.08746284125034
201	Normal	2.54349588342577
201	Tumor	2.96716860753263
208	Normal	0.389566811762726
208	Tumor	2.31614574229336
267	Normal	0.823749360308273
267	Tumor	2.71369581484336
294	Normal	0.356143810225275
294	Tumor	1.4905701304462
301	Normal	4.71149490665009
301	Tumor	4.02680005934372
334	Normal	1.43829285157915
334	Tumor	1.23266075679027
336	Normal	-0.0291463456595165
336	Tumor	0.422233000683048
396	Normal	0.545968369105292
396	Tumor	-0.556393348524385
418	Normal	-0.251538766995964
418	Tumor	-1.55639334852439
442	Normal	-0.251538766995964
442	Tumor	-1
445	Normal	-0.217591435072627
445	Tumor	-0.0291463456595165
447	Normal	2.0071955014042
447	Tumor	2.06004738366994
455	Normal	1.14404636961671
455	Tumor	1.28688114778816
458	Normal	0.75702324650746
458	Tumor	-0.810966175609983
475	Normal	3.16510798514454
475	Tumor	2.89917563048051
476	Normal	1.90689059560852
476	Tumor	1.799087306074
482	Normal	2.34482849699744
482	Tumor	1.40053792958373
492	Normal	-0.0144995696951151
492	Tumor	-0.971430847803229
494	Normal	-0.286304185156641
494	Tumor	-0.473931188332412
505	Normal	-0.415037499278844
