153N,153T,33N,33T,547N,547T,553N,553T,442N,442T,552N,552T,55N,55T,654N,654T,463N,463T,453N,453T,47N,47T,448N,448T,199N,199T,663N,663T,68N,68T,191N,191T,62N,62T,662N,662T,656N,656T,566N,566T,528N,528T,664N,664T,189N,189T,652N,652T,652T,673N,673N,673T,673T,678N,678T,682N,682T,685N,685T,686N,686T,692N,692T,694N,694T,699N,699T,701N,701T,702N,702T,706N,706T,709N,709T,711N,711T,712N,712T,715N,715T,717N,717T,719N,719T,721N,721T,724N,724T,726N,726T,727N,727T,38N,38T,45N,45T,96N,96T,117N,117T,156N,156T
0.9166667,0.04545455,0.84,0,0.8888889,0.88,0.9230769,0.9583333,0.8461539,0.5217391,0.9565217,0.7391304,0.9583333,0.9583333,0.9166667,0.6956522,0.9615384,0.7307692,0.9166667,0.8846154,0.9166667,0.8695652,0.8260869,0.962963,0.7916667,0.5833333,0.92,0.9583333,0.9166667,0.8076923,0.96,0.8571429,0.7916667,0.76,0.8076923,0.6923077,0.6923077,0.875,0.7916667,0.8181818,0.88,0.9615384,0.7037037,0.9615384,0.7391304,0.9230769,0.8148148,1,0.7777778,0.6923077,0.8846154,0.96,0.8846154,0.75,0.8076923,0.875,0.9615384,0.88,0.9583333,0.75,0.7777778,0.9166667,0.9166667,0.9565217,0.9583333,0.2727273,0.9130435,0.9583333,0.875,0.6666667,0.7222222,0.96,0.875,0.8695652,0.9583333,0.625,0.9166667,0.7826087,0.8076923,0.9473684,0.8,0.7916667,0.8333333,0.9615384,0.7916667,0.88,0.9259259,0.9166667,0.9583333,0.8461539,0.8846154,0.9565217,0.7083333,0.875,0.875,0.75,0.85,0.92,0.933333,1,0.7,1,0.75
0.95,0.04166667,0.84,0.9166667,0.8333333,0.75,0.9130435,0.9583333,1,0.7916667,0.96,0.8461539,0.875,0.8695652,0.875,0.92,0.962963,0.8461539,0.8260869,0.9583333,0.9230769,0.9230769,0.8846154,0.68,0.9565217,0.84,0.9230769,0.8846154,1,0.92,0.962963,0.9545454,0.7826087,0.8,0.7692308,0.9230769,0.7777778,0.8333333,0.9130435,0.75,0.92,0.9615384,1,1,0.8888889,0.9565217,0.92,0.96,0.7692308,0.8,0.9615384,0.92,0.9166667,0.9259259,0.9259259,0.7692308,0.8076923,0.7407407,0.7777778,0.8695652,0.9615384,0.7692308,0.88,0.875,0.8518519,0.7272727,1,0.9047619,0.9259259,1,0.5555556,0.9130435,0.96,0.84,0.4583333,0.7826087,0.8333333,1,0.88,0.8695652,0.8421053,0.8518519,0.4782609,0.7916667,0.9130435,0.8461539,0.8888889,0.6923077,0.9130435,0.9130435,0.6666667,0.9130435,0.8928571,0.64,0.818182,0.75,0.583333,1,0.833333,1,0.888889,1,0.884615
1,0.6086956,0.9583333,0.7916667,0.8333333,0.92,1,0.9130435,1,1,1,0.9583333,0.96,0.875,0.9130435,0.6521739,0.9230769,0.8076923,1,0.9615384,0.9615384,1,0.8846154,0.7826087,0.9565217,0.88,1,0.9583333,0.92,0.9583333,1,0.8518519,0.75,0.7916667,0.7826087,0.9166667,0.9130435,0.9166667,0.875,0.92,0.9583333,0.88,0.96,0.875,0.9583333,1,0.9444444,0.8333333,0.9166667,0.7307692,0.9,0.9230769,0.8846154,0.875,0.7826087,0.8333333,0.9166667,0.962963,0.9615384,1,0.9259259,0.9259259,0.9166667,0.9166667,0.9583333,1,0.96,0.7916667,0.9583333,0.8148148,0.7037037,0.88,0.9583333,1,0.8888889,1,0.9130435,0.9166667,0.6923077,0.8888889,0.85,0.9583333,0.9130435,0.962963,0.962963,0.875,0.75,0.7083333,0.9166667,0.9166667,0.875,1,0.9230769,0.9090909,0.75,0.933333,0.791667,0.875,0.904762,0.708333,1,0.96,0.695652
0.9615384,0.4761905,0.96,0.75,0.9583333,0.88,1,0.68,0.8461539,0.7692308,0.8695652,0.9047619,0.875,0.7083333,0.962963,0.7391304,0.8148148,0.8461539,1,0.88,0.8148148,0.9230769,0.9230769,1,0.8636364,0.5833333,0.88,0.8,0.875,0.8846154,0.9473684,0.875,0.6956522,0.7826087,0.8333333,0.75,1,0.9259259,0.7619048,1,0.9615384,0.9615384,0.92,1,0.875,0.8846154,0.9166667,1,0.8,0.8518519,1,0.8846154,0.9130435,0.962963,0.9565217,0.84,0.8461539,0.7407407,0.8333333,0.875,0.8,0.7826087,1,0.875,0.962963,0.875,0.875,0.6666667,0.9166667,0.8,0.9230769,0.9130435,0.9583333,0.8333333,0.9583333,0.8636364,0.9130435,0.962963,0.8461539,0.96,0.6086956,0.8333333,0.8695652,0.92,0.7916667,0.7037037,0.625,0.5833333,0.875,0.9565217,0.962963,0.7391304,0.875,0.8846154,0.913043,0.869565,0.730769,0.846154,0.96,0.73913,0.869565,0.88,0.826087
0.9,0,0.8181818,0.44,0.8571429,0.2692308,0.9230769,0.68,1,0.6956522,0.9166667,0.8333333,0.8333333,0.5833333,0.9583333,0.6666667,0.92,0.9583333,1,0.7857143,0.9130435,0.9130435,0.9565217,0.7916667,0.9545454,0.6086956,1,0.9230769,0.9259259,0.8846154,1,1,0.9230769,0.9583333,0.875,0.84,0.9565217,0.96,0.9545454,0.7826087,0.8518519,0.76,0.84,0.9615384,0.9166667,0.9166667,0.9583333,0.8846154,0.2173913,0.6153846,0.8518519,0.8846154,0.962963,0.8888889,0.96,0.84,0.9166667,0.962963,0.92,0.7916667,0.96,0.8260869,0.8,0.9615384,1,0.9230769,0.8076923,0.9130435,1,0.9166667,0.92,0.9166667,0.9615384,1,0.8,1,0.75,0.9583333,0.8461539,0.9615384,0.9130435,0.962963,0.8333333,0.9615384,0.9583333,0.84,0.875,0.6666667,0.875,0.8888889,0.8695652,1,0.88,1,0.869565,0.954545,0.714286,0.84,0.851852,0.958333,0.869565,0.96,0.777778
1,0.8461539,0.75,0.5833333,1,0.8333333,0.9565217,0.68,0.8461539,0.7916667,0.9130435,0.8333333,0.9583333,0.7391304,0.96,0.962963,0.92,0.9565217,0.8333333,0.8461539,0.9230769,0.5217391,0.9230769,0.8695652,0.8518519,0.6923077,0.8461539,0.9259259,0.9565217,0.8518519,0.9230769,1,0.8260869,0.76,0.8148148,0.8333333,0.9166667,0.9230769,0.8636364,0.9583333,0.9583333,1,1,0.8260869,0.92,0.92,0.9259259,1,0.88,0.8076923,0.962963,0.8518519,0.962963,0.9259259,0.9259259,0.7916667,0.9166667,0.9259259,0.5833333,0.92,0.962963,0.96,0.7407407,1,0.962963,0.7916667,0.8695652,0.88,0.7916667,0.65,0.7037037,0.9583333,0.92,0.75,0.962963,0.9166667,1,0.8636364,0.8461539,0.7916667,0.8076923,0.8148148,0.8260869,0.8846154,0.88,0.8461539,0.962963,1,0.9583333,1,0.8,0.8076923,0.8695652,0.9583333,0.76,0.958333,0.956522,,0.92,0.9375,0.88,0.75,0.75
0.7647059,0.04761905,0.8181818,0.6086956,0.88,0.88,0.9130435,0.8,0.9166667,0.7916667,1,0.5833333,0.9583333,0.8695652,0.7826087,0.9583333,0.962963,0.8,0.96,0.6923077,0.875,0.9166667,0.7083333,0.88,0.8695652,0.6666667,0.8518519,0.875,0.9615384,0.9583333,0.84,0.8695652,0.9565217,0.9130435,0.8148148,0.9166667,1,0.9130435,1,0.9583333,0.8888889,0.8846154,1,0.96,0.875,0.76,0.7083333,0.8888889,0.8888889,0.8076923,0.7777778,0.9130435,0.9565217,0.962963,0.8461539,0.8260869,0.8148148,0.96,0.9615384,0.875,0.8888889,,0.68,0.962963,1,1,0.8260869,0.9565217,1,0.6842105,1,0.875,0.8846154,0.875,0.875,0.962963,0.9130435,1,0.8846154,0.96,0.9583333,0.9090909,0.9047619,,1,1,0.962963,0.9130435,0.9583333,0.8333333,0.9130435,,0.8181818,0.7916667,0.961538,0.736842,0.8,,0.96,0.944444,1,0.923077,0.85
1,0.8636364,0.7391304,0.1666667,1,0.64,0.875,0.7826087,0.8260869,0.7391304,0.875,0.8846154,0.8333333,0.75,0.9090909,0.8695652,1,0.7307692,0.8846154,0.9230769,0.8076923,0.96,0.9130435,0.8421053,0.7894737,0.9130435,0.9166667,0.9259259,0.9615384,0.9615384,0.7916667,0.9047619,0.8695652,0.88,0.8846154,0.8461539,0.875,0.8333333,0.88,0.9545454,0.8333333,0.9583333,1,1,0.6521739,0.8571429,0.9130435,1,0.92,0.7391304,0.9090909,0.9130435,0.8846154,,0.625,0.84,0.875,0.9230769,1,0.875,0.48,,0.9583333,0.962963,0.7407407,0.96,0.9259259,0.8571429,0.952381,0.875,0.8333333,0.8846154,0.9565217,1,0.875,0.9583333,0.9166667,0.6521739,0.8,0.875,0.8846154,0.8181818,0.88,,0.9090909,0.96,0.8461539,,0.8333333,,0.875,,0.9259259,,0.857143,0.954545,0.846154,,0.875,0.958333,0.96,,0.65
0.9545454,0,0.875,0.625,0.9583333,0.6923077,0.8333333,0.8695652,1,0.8076923,0.9259259,0.875,0.8333333,0.8333333,0.9615384,0.962963,0.84,0.7692308,0.88,0.8846154,0.96,0.9130435,1,0.8846154,0.8518519,0.8148148,0.9230769,0.8,0.9259259,0.7692308,0.9230769,0.92,0.8260869,0.8260869,0.8695652,0.7307692,1,0.84,0.7916667,0.9047619,0.92,0.875,0.875,0.9615384,0.8636364,0.9166667,0.9166667,0.9130435,0.8888889,1,0.9230769,0.92,1,,0.7692308,0.92,0.6666667,0.64,0.9130435,0.8888889,0.9583333,,0.7916667,0.88,0.9615384,0.8260869,0.8076923,1,0.8846154,0.8461539,0.9615384,,0.8260869,0.9583333,0.6521739,0.9130435,0.7916667,0.5833333,0.4583333,,0.96,0.9166667,0.7692308,,0.9565217,1,0.9230769,,0.8636364,,0.875,,0.875,,0.818182,,0.625,,0.851852,,0.96,,0.772727
1,0.1428571,0.8518519,0.9583333,0.9583333,0.9166667,0.96,0.45,1,0.875,1,0.8181818,0.9565217,0.8846154,0.8518519,0.8260869,0.8,0.7391304,0.92,0.9230769,0.9130435,0.75,0.7692308,0.7692308,0.8,1,0.9259259,0.8461539,0.9230769,0.8333333,1,0.8,0.875,0.8333333,0.8518519,0.8846154,0.9565217,0.9166667,0.7826087,0.875,0.8846154,0.875,0.8518519,0.962963,0.875,0.9166667,0.9130435,1,0.9166667,0.9259259,0.7692308,0.962963,0.8421053,,0.7407407,0.7307692,0.84,0.9545454,0.92,1,0.875,,0.75,,0.8333333,1,0.8333333,0.8333333,0.9166667,0.8,0.9565217,,0.8076923,1,0.4583333,0.875,0.9130435,0.76,0.9230769,,0.9583333,0.8148148,0.9545454,,0.88,0.9166667,0.8333333,,0.9230769,,,,0.7777778,,0.958333,,0.85,,0.884615,,1,,0.869565
