sample	area.Min.	area.1st Qu.	area.Median	area.Mean	area.3rd Qu.	area.Max.	n
1	LS174T	 14.46410	 50.26015	 72.37253	 80.19681	104.47451	248.69927	324
2	Clone 1	 20.18730	 59.23517	 67.95005	 76.60282	 86.96670	302.80957	418
3	Clone 2	 16.96150	 53.79813	 65.24454	 69.63022	 81.89386	159.83351	437
4	Clone 3	 14.36004	 42.55983	 55.15088	 57.22844	 68.57440	173.04891	317
5	Clone 4	 18.83455	 48.80333	 57.23205	 64.37847	 74.32362	195.31738	384
6	Clone 5	 35.06764	120.21332	159.26119	167.09832	203.90219	374.50572	216
7	Clone 6	 13.83975	 80.74922	106.13944	115.69089	141.62331	381.06139	209
8	Clone 7	 15.92092	 80.64516	112.17482	119.11554	151.61290	372.84079	327
9	Clone 8	 14.04787	 92.48179	116.38918	121.43650	152.44537	262.33091	208
10	Clone 9	 21.01977	 46.87825	 62.22685	 70.47780	 83.66285	201.45682	216
11	Clone 10	 14.04787	 53.51197	 64.36004	 71.58991	 87.95525	242.97607	238
12	Clone 11	 27.78356	 50.70239	 61.03018	 71.18286	 81.55567	282.41415	208
13	Clone 12	 17.06556	 48.28304	 83.24662	 79.52337	104.68262	224.97399	337
14	Clone 13	 18.31426	 52.13319	 62.79917	 67.80495	 79.78668	212.90323	398
15	Clone 14	 19.25078	 54.73465	 64.09990	 68.22802	 77.73153	166.70135	289
